filename^document_name^parties^agreement_date^effective_date^expiration_date^renewal_term^notice_period^governing_law^non_compete^exclusivity
16^DISTRIBUTOR AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^8/1/19^8/1/19^8/1/22^3 years^120 days^Florida^No^Yes
17^NON-EXCLUSIVE DISTRIBUTOR AGREEMENT^iMine Corporation ('JRVS'); SUNWAI Technology ('Distributor')^7/19/18^7/19/18^7/19/20^^3 weeks^Indiana^Yes^No
18^EXCLUSIVE DISTRIBUTOR AGREEMENT^Erchonia Corporation ('Erchonia'); InnerScope Hearing Technologies Inc ('Distributor')^^^^3 years^^Florida^Yes^Yes
19^EXCLUSIVE DISTRIBUTOR AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^11/12/19^11/12/19^11/12/24^successive 5 year^120 days^Texas^No^Yes
20^ENDORSEMENT AGREEMENT ADDENDUM I^National Football League Alumni - Northern California Chapter ('NFLA-NC'); National Football League Alumni, Inc ('NFLA')^11/7/17^11/7/17^^^3 weeks^^No^No
21^Rental Agreement^Eco Science Solutions, Inc ('ESSI'); Stephen Marley ('Talent')^11/14/17^11/14/17^11/14/18^successive 1 year^30 days^Michigan^Yes^No
22^COLLABORATION & ENDORSEMENT AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^6/15/15^6/15/15^6/15/19^3 years^90 days^New York^Yes^Yes
23^GAS FRANCHISE AGREEMENT^TOWN OF VINTON, VIRGINIA ('Grantor'); ROANOKE GAS COMPANY ('Grantee')^11/17/15^1/1/16^1/1/36^successive 1 year^30 days^^No^No
24^MASTER FRANCHISE AGREEMENT^Smaaash Entertainment Private Limited ('Franchisor'); I-AM Capital Acquisition Company ('Franchise')^11/20/18^11/20/18^perpetual^3 years^30 days^New York^No^Yes
25^Website Design, Development and Hosting Agreement^FreeCook ('Client'); Mitchell's Web Advance, PLC ('Company')^1/11/18^^5/3/18^successive 1 year^30 days^^No^No
26^MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^9/18/08^9/18/08^^3 years^60 days^Netherlands^No^No
27^SERVICES AND HOSTING AGREEMENT^VITALIBIS INC ('Licensee'); VOTOCAST, Inc. ('VOTOCAST')^3/14/18^3/14/18^3/14/19^successive 1 year^6 months^California^No^No
28^e-business Hosting Agreement^International Business Machines Corporation ('IBM'); Quantum Group Inc. ('Customer')^12/2/08^12/3/08^12/3/11^perpetual^30 days^New York^No^No
29^INTELLECTUAL PROPERTY AGREEMENT, d^NUANCE COMMUNICATIONS, INC ('Nuance'); CERENCE INC. ('SpinCo')^9/30/19^^'9/30/22^3 years^30 days^Delaware^No^No
30^INTELLECTUAL PROPERTY AGREEMENT, d^HONEYWELL INTERNATIONAL INC. ('Honeywell'); GARRETT MOTION INC. ('SpinCo')^9/27/18^9/27/18^9/27/18^4 weeks^30 days^New York^No^No
31^Rental Agreement^Synchron ('Investor'); Rare Element Resources Ltd. ('Company')^10/2/17^9/27/18^9/27/21^3 years^60 days^New York^No^Yes
32^SPONSORED RESEARCH AND LICENSE AGREEMENT^Artara Therapeutics, Inc. ('ArTara','ArTara, Inc.'); University of Iowa ('University')^11/28/18^11/28/18^^^6 months^Iowa^No^Yes
33^MEDIA LICENSE AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^^^12/31/34^successive 5 years^180 days / 6 months^Ohio^No^Yes
34^COMMERCIALIZATION AND LICENSE AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^12/17/19^12/17/19^^perpetual, 11/15/2014^30 days^New York^Yes^Yes
35^NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES^John Hopkins University ('JHU'); Virtuoso Surgical, Inc. ('Company')^5/3/16^5/11/16^5/11/16^3 years^30 days^Maryland^No^No
36^Network Build and Maintenance Agreement ^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^7/31/19^7/31/19^7/31/19^4 weeks^30 days^New York^No^No
37^MASTER OPERATION AND MAINTENANCE AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^4/13/12^5/11/16^^3 years^60 days^New York^No^No
38^SOFTWARE MAINTENANCE AGREEMENT^Leader Act Ltd ('LEADER'); EZJR, Inc. ('EZJR');^10/13/16^7/31/19^10/13/21^^6 months^Nevada^No^No
39^TURN - KEY MANUFACTURING AGREEMENT^INVASIX LTD. ('Customer'); FLEXTRONICS ISRAEL LTD. ('Contractor');^^4/1/11^4/1/12^successive 1 year^90 days^Israel^Yes^No
40^MANUFACTURING AND SUPPLY AGREEMENT (DA-9801 Licensed Products)^Dong-A ST Co., Ltd. ('Dong-A'); NeuroBo Pharmaceuticals, Inc. ('NeuroBo')^9/28/18^9/28/18^^^^New York^No^No
41^PRODUCT MANUFACTURING AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^^^5/11/16^^5 weeks^Israel^No^Yes
42^MANUFACTURING AND SUPPLY AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^7/4/21^9/4/21^7/31/19^successive 1 year^12 months^Delaware^No^Yes
43^WHOLESALE MARKETING AGREEMENT^ALPS Distributors, Inc. ('Distributor'); S2K Financial LLC ('S2K');^8/24/18^8/24/18^perpetual^^^Colorado^No^No
44^LOCAL PROGRAMMING AND MARKETING AGREEMENT (WQHT HD2)^MediaCo Holding Inc. ('Licensee'); WBLS-WLIB LLC ('Programmer')^11/25/19^11/25/19^12/31/22^^2.5 years^Indiana^No^No
45^MARKETING AND RESELLER AGREEMENT^Todos Medical Ltd. ('Todos'); Care G. B. Plus Ltd. ('Reseller')^12/20/18^12/20/18^12/20/23^5 years; 2 years^60 days^Israel^No^Yes
46^JOINT SUPPLY AND MARKETING AGREEMENT^Bunker One (USA) Inc. ('Bunker One'); Vertex Energy Operating LLC ('Vertex')^1/10/20^5/1/20^4/30/29^successive 5 years^120 days^Alabama^No^Yes
47^PRODUCT SALE AND MARKETING AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^11/12/18^11/12/18^7/31/19^successive 6 months^30 days^New York^Yes^Yes
48^OUTSOURCING AGREEMENT^SLICON SMELTERS PTY LTD ('Customer'); ESPACIO INFORMATION TECHNOLOGY, SA. ('EIT')^1/1/09^1/1/09^5/11/16^successive 1 year^3 months^Spain^No^No
49^Outsourcing Contract on Development of Miaoli Royal Resort Hotel^HUANG JIA Country CLUB and Recreation Inc. ('Party A'); Chang Chen-Bin Architects Office ('Party B')^10/29/15^^7/31/19^perpetual, 11/15/2014^30 days^Taiwan^No^No
50^Outsourcing Agreement^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^12/30/16^12/30/16^^3 years^30 days^^No^No
51^OUTSOURCING AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^5/16/17^^perpetual^4 weeks^30 days^^No^No
52^COLOGUARDÂ® PROMOTION AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^8/21/18^8/21/18^12/31/21^3 years^60 days^New York^No^Yes
53^CO-PROMOTION AGREEMENT^SEATTLE SOFTWARE DEVELOPERS, Inc. ('Developer'); PELICAN DELIVERS INC. ('Client')^9/26/18^9/26/18^9/26/22^^6 months^[* * *]^Yes^Yes
54^PROMOTION AGREEMENT^BookingEntertainment.com ('Promoter'); VNUE, Inc. ('VNUE')^9/10/15^9/10/15^9/10/16^successive 1 year^^Nevada^No^No
55^PROMOTION AGREEMENT^BookingEntertainment.com ('Promoter'); VNUE, Inc. ('VNUE')^5/31/19^5/31/19^5/31/24^successive 3 years^90 days^New York^Yes^Yes
56^  RESELLER AGREEMENT^BookingEntertainment.com ('Promoter'); VNUE, Inc. ('VNUE')^4/7/17^4/7/17^^1 year^^Virginia^No^Yes
57^WALABOT-HOME RESELLER AGREEMENT^BookingEntertainment.com ('Promoter'); VNUE, Inc. ('VNUE')^7/31/19^7/31/19^7/31/20^successive 1 year^3 months^New York^No^No
58^LICENSE AND RESELLER AGREEMENT^EHAVE, INC. ('Ehave'); COMPANION HEALTHCARE TECHNOLOGIES CORP ('CHT')^10/30/18^10/30/18^perpetual^^^Ontario, Canada^Yes^Yes
59^FORM OF SUB-RESELLER AGREEMENT^salesforce.com, inc. ('SFDC', 'Salesforce'); Salesforce.org ('Reseller')^9/4/21^^^^^^No^No
60^CHANNEL PARTNER RESELLER AGREEMENT^IPASS INC. ('iPass'); Pareteum Corporation ('Channel Partner')^4/25/18^4/25/18^4/25/19^successive 1 year^60 days^California^No^Yes
61^SPONSORSHIP AND SERVICES AGREEMENT^BookingEntertainment.com ('Promoter'); VNUE, Inc. ('VNUE')^12/19/18^^12/31/28^^30 days^Ohio^No^Yes
62^DISTRIBUTION AND SERVICES AGREEMENT^Integrity Short Term Government Fund, ('fund'); Integrity Funds, Integrity Funds Distributor, LLC, ('Integrity')^1/18/20^4/1/18^1/18/22^successive 1 year^30 days^Kansas^No^No
63^TRANSITION SERVICES AGREEMENT^BookingEntertainment.com ('Promoter'); VNUE, Inc. ('VNUE')^1/1/20^1/1/20^1/1/20^perpetual, 11/15/2014^30 days^Illinois^No^No
64^TRANSFER AND SERVICING AGREEMENT, d^BookingEntertainment.com ('Promoter'); VNUE, Inc. ('VNUE')^1/29/20^^^3 years^60 days^New York^No^No
65^JACKSONVILLE JAGUARS SPONSORSHIP AGREEMENT^Jacksonville Jaguars, LLC ('Club'); ARC Group, Inc. ('Sponser')^11/27/17^4/1/18^2/28/23^4 weeks^6 months^^No^No
66^EVENT SPONSORSHIP AGREEMENT^Jacksonville Jaguars, LLC ('Club'); ARC Group, Inc. ('Sponser')^2/1/19^2/1/19^1/31/24^3 years^^California^No^Yes
67^SPONSORSHIP AGREEMENT^Fruit of Life Productions LLC ('Promoter'); Eco Science Solutions, Inc. ('Sponsor')^4/1/18^4/1/18^4/30/18^^^Florida^No^No
68^ODM SUPPLY AGREEMENT^ORGANIC PREPARATIONS INC. ('Manufacturer'); AGAPE ATP INTERNATIONAL HOLDING LIMITED ('Customer')^1/15/18^1/15/18^1/15/28^successive 10 years^6 months^England^Yes^Yes
69^Corporate Sponsorship Agreement^Freeze Tag Inc. ('Company'); American Diabetes Association ('Association')^3/22/18^3/14/18^3/14/20^perpetual, 11/15/2014^30 days^Virginia^No^No
70^SUPPLY CONTRACT^Jacksonville Jaguars, LLC ('Club'); ARC Group, Inc. ('Sponser')^1/1/20^1/1/18^1/1/19^3 years^30 days^People's Republic of China; United Nations Convention on Contract for the International Sale of Goods^No^No
71^MASTER SUPPLY AGREEMENT^Jacksonville Jaguars, LLC ('Club'); ARC Group, Inc. ('Sponser')^11/1/19^11/1/19^^4 weeks^30 days^Illinois^No^No
72^GLOBAL MASTER SUPPLY AGREEMENT^ExxonMobil Chemical Company ('Seller'); West Pharmaceutical Services, Inc. ('Buyer')^1/10/20^1/1/19^12/31/23^3 years^60 days^Texas; Singapore; Belgium^No^No
73^FORM OF TRADEMARK LICENSE AGREEMENT^Jacksonville Jaguars, LLC ('Club'); ARC Group, Inc. ('Sponser')^9/12/2019^9/11/2019^^perpetual, 11/15/2014^6 months^California^No^No
74^FORM OF TRADEMARK LICENSE AGREEMENT^ARCONIC INC. ('Licensee'); ARCONIC ROLLED PRODUCTS CORP. ('Licensor')^9/12/2019^^4/1/18^3 years^^Delaware^No^No
75^TRADEMARK LICENSE AGREEMENT^Morgan Stanley Investment Management Inc. ('Licensor'); Morgan Stanley Direct Lending Fund ('Licensee')^1/10/20^12/22/14^perpetual^4 weeks^^New York^No^No
76^TRADEMARK LICENSE AGREEMENT^Jacksonville Jaguars, LLC ('Club'); ARC Group, Inc. ('Sponser')^12/14/15^12/22/14^perpetual^3 years^^New York^No^No
77^TRADEMARK LICENSE AGREEMENT^Palmer Square Capital Management LLC ('Licensor'); Palmer Square Capital BDC Inc. ('Licensee')^12/22/14^12/22/14^1/22/14^^^New York^No^No
78^GAS TRANSPORTATION AGREEMENT^Palmer Square Capital Management LLC ('Licensor'); Palmer Square Capital BDC Inc. ('Licensee')^4/14/15^4/14/15^12/31/30^perpetual^30 days^Texas^No^Yes
79^TRANSPORTATION SERVICE AGREEMENT Contract Identification FT18150^Great Lakes Gas Transmission Limited Partnership ('Transporter'); ANR PIPELINE COMPANY ('Shipper')^12/14/15^11/1/16^10/31/17^^^Michigan^No^No
80^TRANSPORTATION SERVICES AGREEMENT^Palmer Square Capital Management LLC ('Licensor'); Palmer Square Capital BDC Inc. ('Licensee')^4/14/15^4/14/15^perpetual^perpetual^30 days^Texas^No^No
81^Road Transportation Agreement^ZTO Express Co., Ltd. ('Party A'); Tonglu Tongze Logistics Ltd. ('Party B')^12/22/14^12/22/14^perpetual^^^People's Republic of China^No^No
82^CO-BRANDING, MARKETING AND DISTRIBUTION AGREEMENT^Amazon.com Commerce Services, Inc. ('ACSI'); Audible Inc. ('Company')('Parties' and individually as a 'Party')^1/30/00^^1/30/03^^^Washington^Yes^Yes
83^Rental Agreement^I-ESCROW, INC.  ('i-Escrow' ); 2THEMART.COM, INC. ('2TheMart')^6/21/99^6/21/99^6/21/00^Successive 1 year^30 days^California^Yes^No
84^CO-BRANDING AGREEMENT^Snap Technologies, Inc. ('Snap'); United Airlines, Inc. ('Sponsor')^6/8/99^6/8/99^12/31/00^4 years, 6 months^30 days^California^No^Yes
85^CO-BRANDING AGREEMENT^MEDIALINX INTERACTIVE, L.P. ('MLX'); HEALTHCENTRAL.com INC. ('HCI')^6/30/99^9/1/99^9/1/01^successive 1 year^30 days^Ontario, Canada^Yes^Yes
86^CO-BRANDING AGREEMENT^VerticalNet, Inc. ('VerticalNet'); Impresse Corporation ('Impresse')^3/3/00^3/3/00^6/3/01^1 year^60 days^Delaware^Yes^No
87^CO-BRANDING AGREEMENT^About.com, Inc. ('About'); ebix.com, Inc. ('ebix')^1/19/01^1/19/01^^4 years, 6 months^6 months^Illinois; New York^No^Yes
88^CO-BRANDING AGREEMENT^ZTO Express Co., Ltd. ('Party A'); Tonglu Tongze Logistics Ltd. ('Party B')^2/16/00^2/16/00^^^^California^Yes^No
89^Rental Agreement^ZTO Express Co., Ltd. ('Party A'); Tonglu Tongze Logistics Ltd. ('Party B')^1/21/03^^1/21/04^successive 1 year^1 day^New York^No^No
90^CO-BRANDING AGREEMENT^ZTO Express Co., Ltd. ('Party A'); Tonglu Tongze Logistics Ltd. ('Party B')^3/15/00^3/15/00^6/15/01^12 months^^Pennsylvania^Yes^No
91^CO-BRANDING AGREEMENT^VerticalNet, Inc. ('VerticalNet'); Neoforma.com, Inc. ('Neoforma')^11/19/99^11/19/99^11/19/01^successive 1 year^30 days^Pennsylvania^Yes^Yes
92^CO-BRANDING AGREEMENT^VerticalNet, Inc. (''VerticalNet'); PaperExchange.com, LLC ('PaperExchange')^^9/30/99^9/30/03^successive 1 year^30 days^Pennsylvania^Yes^Yes
93^Rental Agreement^NETTAXI Online Communities, Inc. ('NETTAXI'); Solutions Media, Inc.(dba SpinRecords.com, 'SpinRecords.com' or 'Client')^11/5/99^11/5/99^11/5/00^successive 1 year^60 days^California^Yes^No
94^CO-BRANDING AGREEMENT^ZTO Express Co., Ltd. ('Party A'); Tonglu Tongze Logistics Ltd. ('Party B')^11/14/00^11/14/00^11/14/03^successive 1 year^6 months^New York^Yes^No
95^CO-BRANDING Agreement^theglobe.com, Inc. ('theglobe'); Boxlot Company ('Boxlot')^^03/12/99^03/12/99^^180 days^New York^No^No
96^MANIFEST SYSTEM SERVICES AND CO-BRANDING AGREEMENT^iShip.com, Inc. ('Company'); Mail Boxes Etc. USA, Inc. ('MBE')^4/27/99^4/27/99^4/27/04^successive 2 years^180 days^California^No^Yes
97^CHASE AFFILIATE AGREEMENT^Chase Bank USA, N.A., ('Chase'); You ('Affiliate')^4/6/07^^perpetual^^180 days^Delaware^No^No
98^NETWORK AFFILIATE AGREEMENT^National CineMedia, LLC ('NCM'); Digital Cinema Destinations Corp.; 'Network Affiliate' and with NCM, 'Party' and collectively, 'Parties'^3/14/11^3/21/11^3/13/16^1 year^^Delaware^Yes^Yes
99^AFFILIATE AGREEMENT^Link Plus Corporation ('LKPL'); Axiometric, LLC. ('Axiometric')^7/15/05^7/15/05^perpetual^4 years, 6 months^30 days^Maryland^No^Yes
100^Affiliate Program / Premium Affiliate Management General Terms and Conditions^theglobe.com, Inc. ('theglobe'); Boxlot Company ('Boxlot')^^^perpetual^^90 days^Germany^No^No
101^MARKETING AFFILIATE AGREEMENT^Equidata, Inc. ('Equidata'); National Credit Report.com, LLC ('Marketing Affiliate')^10/1/08^10/1/08^10/1/09^Successive 1 year^180 days^Virginia^Yes^No
102^BUSINESS AFFILIATE AGREEMENT^theglobe.com, Inc. ('theglobe'); Boxlot Company ('Boxlot')^1/28/05^10/15/04^perpetual^^^^No^No
103^CHARTER AFFILIATE AFFILIATION AGREEMENT^TUBE Music Network, Inc. ('Network'); Tribune Broadcasting Company ('Affiliate')^3/6/06^3/6/06^3/31/11^4 years, 6 months^6 months^New York^Yes^Yes
104^AFFILIATE OFFICE AGREEMENT^NETWORK  1 FINANCIAL, INC. ('NETWORK  1'); Payment Data  Systems,  Inc. ('AFFILIATE')^^^^successive 1 year^30 days^Virginia, Texas^Yes^Yes
105^CELEBRITY ENDORSEMENT AGREEMENT^Bizzingo, Inc ('Bizzingo'); Joseph Theismann ('Theismann')^3/14/12^3/1/12^3/1/13^1 year^^^No^Yes
106^ENDORSEMENT AGREEMENT^TUBE Music Network, Inc. ('Network'); Tribune Broadcasting Company ('Affiliate')^5/17/12^^5/31/16^4 years, 6 months^^Connecticut^Yes^Yes
107^ENDORSEMENT AGREEMENT^ExxonMobil Chemical Company ('Seller'); West Pharmaceutical Services, Inc. ('Buyer')^10/30/17^11/1/17^11/2/20^successive 1 year^^California^No^Yes
108^TALENT ENDORSEMENT AGREEMENT^Tigrent Learning UK Limited ('Company'); Celebrity Speakers ('CSA'); Robbie Fowler ('Talent')^3/14/16^1/1/13^12/31/13^24 months^1 day^England, United Kingdom; Wales, United Kingdom^Yes^No
109^ENDORSEMENT AGREEMENT^Lifeway Foods, Inc. ('Lifeway'); Ludmila Smolyansky ('Individual')^3/14/16^3/14/16^^successive 1 month^10 days^Illinois^Yes^No
110^Rental Agreement^Golfers Incorporated ('Company'); Andy North ('North')^2/21/11^2/21/11^12/31/12^successive 5 years^30 days^Florida^No^Yes
111^ENDORSEMENT AGREEMENT^Healthcare Distribution Specialists LLC ('HDS'); Paul Silas ('Celebrity')^2/20/12^2/20/12^2/19/13^successive 1 year^90 days^Georgia^No^Yes
112^Split-Dollar Endorsement Agreement^Prudential Bank ('Employer'); Jeffrey Hanuscin ('Employee')^6/1/17^6/1/17^^^180 days^Pennsylvania^No^No
113^ENDORSEMENT^Thrivent Financial for Lutherans^7/1/19^7/1/19^^^30 days^^No^No
114^BLOCKCHAIN ADMINISTRATION AND DEVELOPMENT AGREEMENT^ARCA U.S. TREASURY FUND ('Fund'); ARCA CAPITAL MANAGEMENT, LLC ('Blockchain Administrator')^3/14/16^3/14/16^3/14/16^successive 1 year^90 days^New York^No^No
115^LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT^Xencor, Inc. ('Xencor'); Aimmune Therapeutics, Inc. ('Aimmune')('Party' and collectively as 'Parties')^2/4/20^2/4/20^perpetual^Perpetual^180 days^California^Yes^Yes
116^Development Agreement^CNS Pharmaceuticals, Inc. ('CNS'); WPD Pharmaceuticals ('WPD')('Party' and collectively as 'Parties')^3/20/20^3/20/20^9/1/16^^^Texas^No^No
117^APPLICATION DEVELOPMENT AGREEMENT^InfinixSoft Global LLC ('Developer'); Clickstream Corporation ('Client')^3/20/20^3/20/20^12/31/18^^30 days^Florida^Yes^Yes
118^LICENSE AND DEVELOPMENT AGREEMENT^Bioeq IP, AG ('Bioeq'); Coherus BioSciences, Inc. ('Licensee')^11/2/19^11/2/19^^perpetual^90 days^^Yes^Yes
119^FRANCHISE DEVELOPMENT AGREEMENT (Non-exclusive/Exclusive)^EL POLLO LOCO, INC. ('El Pollo Loco' or 'Franchisor'); an individual ('Developer')^^^9/1/16^6 months^180 days^California; the state in which the breach occurs^Yes^Yes
120^Consulting and Product Development Agreement^Emerald Health Sciences Inc. ('EHS'); Emerald Health Nutraceuticals Inc. ('EHN'); Michael T. Murray, N.D. ('Dr. Murray')^9/1/16^9/1/16^12/31/18^successive 2 years^90 days^Arizona^Yes^Yes
121^DEVELOPMENT AND OPTION AGREEMENT^Harpoon Therapeutics, Inc. ('Harpoon'); AbbVie Biotechnology Ltd ('AbbVie')^11/20/19^11/20/19^^^^Delaware^Yes^Yes
122^MASTER JOINT DEVELOPMENT AGREEMENT^iBio Inc.; Beijing CC-Pharming Ltd. ('CC-Pharming')^8/8/18^8/8/18^^^^Texas^No^No
123^OUTSOURCE TECHNOLOGY DEVELOPMENT AGREEMENT^Document Security Systems, Inc. ('DSS'); HotApp International Ltd. ('Developer')^3/1/18^3/1/18^3/1/19^successive 1 month^30 days^New York^No^No
124^REAL ESTATE EDUCATION TRAINING PROGRAM DEVELOPMENT AGREEMENT^T&B Seminars, Inc. ('T&B'); Legacy Education Alliance Holdings, Inc. ('LEA')^12/23/19^12/23/19^12/23/24^successive 5 years^90 days^New York^Yes^Yes
125^BUSINESS DEVELOPMENT AGREEMENT^LIQUIDMETAL TECHNOLOGIES, INC. ('Liquidmetal'); EUTECTIX, LLC ('Eutectix')^12/23/19^3/1/18^3/1/18^successive 1 year^180 days^Arizona^No^No
126^License and Development Agreement^NLS-1 Pharma AG ('Licensor' or 'NLS'); Eurofarma Laboratorios S.A. ('Licensee' or 'Eurofarma')('Party' collectively 'Parties')^^^3/1/18^4 months^^Netherlands^No^Yes
127^CO-DEVELOPMENT AGREEMENT^PhaseBio Pharmaceuticals Inc. ('PB'); SFJ Pharmaceuticals X, Ltd. ('SFJ')('party' and collectively, 'Parties')^1/9/20^1/9/20^^^^Delaware^Yes^Yes
128^COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT^Revolution Medicines, Inc. ('Revmed'); Aventis, Inc. ('Sanofi')('Party' and collectively as 'Parties')^6/8/18^6/8/18^^^^New York^Yes^Yes
129^DISTRIBUTION AND DEVELOPMENT AGREEMENT^Sekisui Diagnostics, LLC and its Affiliates ('Sekisui'); Qualigen, Inc. and its Affiliates ('Qualigen')^5/1/16^^5/1/21^Successive 1 year^6 months^Delaware^No^Yes
130^Mobile Application Development Agreement^VGrab Asia Ltd. ('VAL'); Mr. Zheng Qing, Mr. Gu Xianwin and Ms. Chen Weijie ('Developer')^3/5/19^3/5/19^perpetual^^^Hong Kong^No^No
131^DOMAIN NAME AND CONTENT LICENSE AGREEMENT^Beijing SINA Internet Information Service Co., Ltd. ('Licensor'); Beijing Yisheng Leju Information Services Co., Ltd. ('Licensee')^^^^10 days^^People's Republic of China^No^Yes
132^JOINT CONTENT LICENSE AGREEMENT^WPT Enterprises, Inc. ('WPT'); ZYNGA INC. ('Zynga US'); ZYNGA GAME IRELAND LIMITED ('Zynga Ireland', and together with Zynga US and their respective Affiliates, 'Zynga')^2/1/18^2/1/18^2/1/21^2 years^^California^Yes^No
133^CONTENT LICENSE AGREEMENT^Data Call Technologies, Inc ('Licensor'); PLAN_B MEDIA AG ('plan_b')^3/24/06^4/1/06^4/1/08^0.5 year^60 days^United States^No^No
134^CONTENT LICENSE AGREEMENT^Global Music International, Inc. d/b/a Independent Music Network ('IMNTV'); MobileVision Communications, Ltd. ('Distributor')^7/13/05^7/13/05^7/13/06^successive 1 year^^Florida^No^No
